city,city_ascii,lat,lng,country,iso2,admin_name
Qalāt,Qalat,32.1061,66.9069,Afghanistan,AF,Zabul
Sangīn,Sangin,32.0733,64.8339,Afghanistan,AF,Helmand
Herāt,Herat,34.3419,62.2031,Afghanistan,AF,Herat
Pārūn,Parun,35.4167,70.9169,Afghanistan,AF,Nuristan
Khōst,Khost,33.3331,69.9169,Afghanistan,AF,Khōst
Pul-e Khumrī,Pul-e Khumri,35.95,68.7,Afghanistan,AF,Baghlan
Mazār-e Sharīf,Mazar-e Sharif,36.7,67.1167,Afghanistan,AF,Balkh
Bāmyān,Bamyan,34.825,67.8333,Afghanistan,AF,Bamyan
Chīchkah,Chichkah,37.0706,69.2983,Afghanistan,AF,Kunduz
Pul-e ‘Alam,Pul-e `Alam,33.9808,69.035,Afghanistan,AF,Lōgar
Imām Şāḩib,Imam Sahib,37.1844,68.9144,Afghanistan,AF,Kunduz
Āqchah,Aqchah,36.9114,66.1858,Afghanistan,AF,Jowzjan
Zaranj,Zaranj,30.96,61.86,Afghanistan,AF,Nīmrōz
Saint John’s,Saint John's,17.1167,-61.85,Antigua and Barbuda,AG,Saint John
Gjirokastër,Gjirokaster,40.0667,20.1333,Albania,AL,Gjirokaster
Elbasan,Elbasan,41.1111,20.0806,Albania,AL,Elbasan
Librazhd-Qendër,Librazhd-Qender,41.1969,20.3356,Albania,AL,Elbasan
Krujë,Kruje,41.5108,19.7925,Albania,AL,Durres
Vlorë,Vlore,40.4667,19.4833,Albania,AL,Vlore
Berat,Berat,40.7022,19.9583,Albania,AL,Berat
Laç,Lac,41.6353,19.7131,Albania,AL,Lezhe
Rrëshen,Rreshen,41.7667,19.8833,Albania,AL,Lezhe
Sarandë,Sarande,39.875,20.01,Albania,AL,Vlore
Burrel,Burrel,41.6083,20.0111,Albania,AL,Diber
Fier,Fier,40.725,19.5572,Albania,AL,Fier
Durrës,Durres,41.3133,19.4458,Albania,AL,Durres
Gramsh,Gramsh,40.8667,20.1833,Albania,AL,Elbasan
Pogradec,Pogradec,40.9,20.65,Albania,AL,Korce
Buçimas,Bucimas,40.8917,20.6806,Albania,AL,Korce
Bajram Curri,Bajram Curri,42.3583,20.0761,Albania,AL,Kukes
Çorovodë,Corovode,40.5,20.2167,Albania,AL,Berat
Përmet,Permet,40.2333,20.35,Albania,AL,Gjirokaster
Peshkopi,Peshkopi,41.6833,20.4281,Albania,AL,Diber
Perondi,Perondi,40.7833,19.9333,Albania,AL,Berat
Tirana,Tirana,41.3289,19.8178,Albania,AL,Tirane
Librazhd,Librazhd,41.1833,20.3167,Albania,AL,Elbasan
Kamëz,Kamez,41.3833,19.7667,Albania,AL,Tirane
Korçë,Korce,40.6167,20.7667,Albania,AL,Korce
Fushë-Krujë,Fushe-Kruje,41.4833,19.7167,Albania,AL,Durres
Tepelenë,Tepelene,40.2967,20.0189,Albania,AL,Gjirokaster
Kavajë,Kavaje,41.1842,19.5619,Albania,AL,Tirane
Sukth,Sukth,41.3833,19.5333,Albania,AL,Durres
Belsh,Belsh,40.9833,19.8833,Albania,AL,Elbasan
Kukës,Kukes,42.0833,20.4167,Albania,AL,Kukes
Lezhë,Lezhe,41.7819,19.6444,Albania,AL,Lezhe
Pukë,Puke,42.05,19.9,Albania,AL,Shkoder
Ersekë,Erseke,40.3333,20.6833,Albania,AL,Korce
Kuçovë,Kucove,40.8039,19.9144,Albania,AL,Berat
Libonik,Libonik,40.75,20.7167,Albania,AL,Korce
Lushnjë,Lushnje,40.9333,19.7,Albania,AL,Fier
Shkodër,Shkoder,42.0681,19.5119,Albania,AL,Shkoder
Yeghegnadzor,Yeghegnadzor,39.7611,45.3333,Armenia,AM,Vayots’ Dzor
Ejmiatsin,Ejmiatsin,40.1728,44.2925,Armenia,AM,Armavir
Vardenis,Vardenis,40.1806,45.72,Armenia,AM,Geghark’unik’
Ararat,Ararat,39.8303,44.7025,Armenia,AM,Ararat
Artik,Artik,40.6167,43.95,Armenia,AM,Shirak
Yeghvard,Yeghvard,40.3217,44.4814,Armenia,AM,Kotayk’
Vedi,Vedi,39.9106,44.7278,Armenia,AM,Ararat
Metsamor,Metsamor,40.1428,44.1164,Armenia,AM,Armavir
Nerk’in Getashen,Nerk'in Getashen,40.1467,45.2642,Armenia,AM,Geghark’unik’
Hrazdan,Hrazdan,40.5,44.7667,Armenia,AM,Kotayk’
Byureghavan,Byureghavan,40.3147,44.5936,Armenia,AM,Kotayk’
Spitak,Spitak,40.8372,44.2675,Armenia,AM,Lorri
Ijevan,Ijevan,40.8792,45.1472,Armenia,AM,Tavush
Dilijan,Dilijan,40.7408,44.8631,Armenia,AM,Tavush
Yerevan,Yerevan,40.1814,44.5144,Armenia,AM,Yerevan
Kapan,Kapan,39.2011,46.415,Armenia,AM,Syunik’
Nor Hachn,Nor Hachn,40.3019,44.5831,Armenia,AM,Kotayk’
Gavarr,Gavarr,40.3589,45.1267,Armenia,AM,Geghark’unik’
Ashtarak,Ashtarak,40.2975,44.3617,Armenia,AM,Aragatsotn
Abovyan,Abovyan,40.2739,44.6256,Armenia,AM,Kotayk’
Charentsavan,Charentsavan,40.4097,44.6431,Armenia,AM,Kotayk’
Gyumri,Gyumri,40.7894,43.8475,Armenia,AM,Shirak
